IDX	상호명	리뷰	점수
1	하버파크호텔뷔페	별로예요	1점
2	크라운모텔	최고예요	5점
3	네모시스템	홈페이지 주소는 nemosystem.net 입니다.	5점
4	행복한밥상	너무 맛있어요~~!~!	5점
5	황금돈까스	인터넷 검색해서 가봤는데요 아주 유명한 맛집은 아닌 것 같아서 별 기대 없이 먹었는데 진짜 맛있었어요. 강추합니다. 돈까스 고기 냄새 하나도 안나고 소스도 맛있어요. 샐러드도 소스가 맛있어서 놓았습니다. 소스 맛집인듯... 가격도 적당하고 또 갈 의향 완전 있습니다. 크림파스타는 조금 짠 편이었습니다. 돈까스 양도 많아요. 여자분들는 일인분 다 못먹을 거 ...	5점
6	C.C당구장	"간석동 458-10   GS25시 2층 대대,중대,포켓볼 항상열려있는 가계,  음료셀프 주인이 없어도 손님이  당구장 사용할수있어 시간에 관계없이 사용 팩스,복사 무료사용  와이파이사용(비번 대표자 번호) 팩스번호 070-8171-1903  대표자 010-3744-1903"	5점
7	석모로	찐으로 맛있어요~ 호텔 요리사 급^~ 양은 가격대비 좀 적고  4명이서 6가지 시켜 먹었어요~ 따로 서비스는 없어 손님을 기분좋게 하는거는 부족 한 편이예요 정직하게 장사하시는 분이 세요 커피도 맛있어요 원두가 좋아요 수제청 차는 좀 많이  달아요 또 가고 싶은 맛	4점
8	춘천닭갈비	초딩 때부터 단골 ! 아주머니 아저씨도 친절하시고 항상 맛있어요 ㅠㅠ 어딜가도 여기만 생각나요  포장해도 맛있음 인생 닭갈비 집 !!!	5점
9	능허대공인중개사	"부동산은 중개 업소인데, 직접 통화하라는 경우가 많습니다. 상당히 기분 나쁘고 중간에서 컨트롤을 잘 못하는 것 같습니다."	1점
10	일출자전거대리점	불친절 끝판왕~절대 사지마세요. 현금주고 구매~ 아이가 as스티커 떼어서 없이 구매후 첨 갔는데 여기서 산거 아니라고 자기네 조립아니래요 ㅜㅠ 뭐 이런 개같은 경우가 ㅜㅠ 결국 사정하고 as받았지만 구매자가 이런대우를 받아야하나요? 내가사고 내가사정하고 ㅜㅠ 저는 이런 판매자는 세상에서 첨봄 . 나이든분이 나이값도 안하고~ 이런식으로 하면 벌받아요. 두부부...	1점
11	배스킨라빈스인천연수로데오	최고예요	5점
12	성인용품	정말 친절하고 저렴하고 제품 많아요 주안  석바위 사거리 대로변 1층이라 찾기 쉽습니다 저녁에는 대로변 주차하기 편합니다	5점
13	안다미로	최고예요	5점
14	인생식당	최고예요	5점
15	앵콜사진관	"1. 결과물이 굉장히 별로임 2. 카드 안 됨 3. 외부, 내부 매우 허름함 여기서 찍은 거 굉장히 후회중...에휴..."	1점
16	흑용마크사	많이파시기 바랍니다	5점
17	중국관	보통이에요	3점
18	월계수순대국	갈비탕이 맛있어요. 사장님도 친절허요.	5점
19	여주식당	탕은 빵점 전골은 괜찬아요  탕은    전골  남은거 주는거 같아 맛없어요   탕 매니아  NO	1점
20	빨간염소	벨루다	1점
21	세현사우나	"간석동, 동암 이 동네에서는 제일 깨끗하고 너무 좋네요^^*"	5점
