IDX,상호명,상권업종중분류명,시군구명,행정동명,도로명주소,경도,위도
1,허브영양다이어트,건강/미용식품,시흥시,정왕4동,경기도 시흥시 함송로14번길 5-10,126.7299876,37.36306859
2,구이오삼호프마을,유흥주점,시흥시,정왕1동,경기도 시흥시 정왕시장길 9,126.7455569,37.3425916
3,파티유흥주점,유흥주점,시흥시,신천동,경기도 시흥시 호현로22번길 9-1,126.7856157,37.44162072
4,맛짱,한식,시흥시,정왕3동,경기도 시흥시 옥구상가3길 23-11,126.7222634,37.35324503
5,파란집슈퍼,종합소매점,시흥시,과림동,경기도 시흥시 금오로238번길 10,126.8375588,37.4244464
6,브람스,커피점/카페,시흥시,정왕1동,경기도 시흥시 경기과기대로 269,126.7364114,37.33879994
7,청구공인중개사,부동산중개,시흥시,정왕3동,경기도 시흥시 옥구천서로373번길 8-1,126.7268611,37.35569141
8,스마일정보시스템,사무/문구/컴퓨터,시흥시,정왕2동,경기도 시흥시 정왕대로117번길 9,126.7286934,37.35413428
9,바이크월드,자동차/이륜차,시흥시,정왕3동,경기도 시흥시 정왕대로 64,126.7235107,37.35424065
10,역전공인중개사사무소,부동산중개,시흥시,정왕4동,경기도 시흥시 함송로29번길 54,126.735326,37.36448638
11,진경A.D,광고/인쇄,시흥시,목감동,경기도 시흥시 피울길 75,126.8386297,37.36824907
12,하나유통,종합소매점,시흥시,정왕4동,경기도 시흥시 정왕신길로49번길 8,126.7269901,37.35808058
13,코인,의복의류,시흥시,군자동,경기도 시흥시 도일로 127,126.7839839,37.34192961
14,대한공인중개사사무소,부동산중개,시흥시,장곡동,경기도 시흥시 진말로 10,126.7858182,37.37799071
15,신기한영어나라,학문교육기타,시흥시,정왕2동,경기도 시흥시 중심상가로 149,126.7326654,37.3468153
16,수영학원,학원-보습교습입시,시흥시,연성동,경기도 시흥시 상직길 9,126.8129464,37.38970953
17,반석설비,주택수리,시흥시,능곡동,경기도 시흥시 승지로 78,126.8118172,37.3711004
18,정진유통,자동차/자동차용품,시흥시,연성동,경기도 시흥시 시청로68번길 30,126.8022269,37.38206862
19,아미가모텔,모텔/여관/여인숙,시흥시,정왕1동,경기도 시흥시 평안상가4길 16-3,126.7491623,37.33751178
20,동양우레탄,가정/주방/인테리어,시흥시,정왕1동,경기도 시흥시 경기과기대로 36,126.7204436,37.32080544
21,동부엔지니어링,주택수리,시흥시,신현동,경기도 시흥시 신촌2길 5-1,126.7684522,37.40356315
22,영일산업,세탁/가사서비스,시흥시,연성동,경기도 시흥시 하중로133번길 8,126.800981,37.39861735
